LOINC_CODE,DTA_DESC
2842-3,Prolactin [Mass/volume] in Serum or Plasma
2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma
10886-0,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma
12841-3,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma
2889-4,Protein [Mass/time] in 24 hour Urine
2881-1,Protein [Mass/volume] in Body fluid
2880-3,Protein [Mass/volume] in Cerebral spinal fluid
2885-2,Protein [Mass/volume] in Serum or Plasma
2888-6,Protein [Mass/volume] in Urine
5804-0,Protein [Mass/volume] in Urine by Test strip
20454-5,Protein [Presence] in Urine by Test strip
27822-6,Protein S actual/normal in Platelet poor plasma by Coagulation assay
2890-2,Protein/Creatinine [Mass Ratio] in Urine
5902-2,Prothrombin time (PT)
5290-2,Reagin Ab [Presence] in Cerebral spinal fluid by VDRL
20507-0,Reagin Ab [Presence] in Serum by RPR
8332-9,Rectal temperature
17849-1,Reticulocytes/100 erythrocytes in Blood by Automated count
10331-7,Rh [Type] in Blood
11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma
8014-3,Rubella virus IgG Ab [Units/volume] in Serum
4024-6,Salicylates [Mass/volume] in Serum or Plasma
29247-4,Sirolimus [Mass/volume] in Blood
2956-1,Sodium [Moles/time] in 24 hour Urine
2947-0,Sodium [Moles/volume] in Blood
2951-2,Sodium [Moles/volume] in Serum or Plasma
2955-3,Sodium [Moles/volume] in Urine
5811-5,Specific gravity of Urine by Test strip
31208-2,Specimen source [Identifier] of Unspecified specimen
802-9,Spherocytes [Presence] in Blood by Light microscopy
5370-2,Streptolysin O Ab [Units/volume] in Serum or Plasma
76534-7,Systolic blood pressure by Noninvasive
11253-2,Tacrolimus [Mass/volume] in Blood
10381-2,Target cells [Presence] in Blood by Light microscopy
2986-8,Testosterone [Mass/volume] in Serum or Plasma
2991-8,Testosterone Free [Mass/volume] in Serum or Plasma
2999-1,Thiamine [Mass/volume] in Serum or Plasma
3243-3,Thrombin time
3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma
8098-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma
3016-3,Thyrotropin [Units/volume] in Serum or Plasma
11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L
3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma
35670-9,Tobramycin [Mass/volume] in Serum or Plasma
4057-6,Tobramycin [Mass/volume] in Serum or Plasma --peak
17713-9,Topiramate [Mass/volume] in Serum or Plasma
3034-6,Transferrin [Mass/volume] in Serum or Plasma
2571-8,Triglyceride [Mass/volume] in Serum or Plasma
3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma
3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma
42757-5,Troponin I.cardiac [Mass/volume] in Blood
10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma
6598-7,Troponin T.cardiac [Mass/volume] in Serum or Plasma
3087-4,Urate [Mass/time] in 24 hour Urine
3084-1,Urate [Mass/volume] in Serum or Plasma
3086-6,Urate [Mass/volume] in Urine
3096-5,Urea nitrogen [Mass/time] in 24 hour Urine
6299-2,Urea nitrogen [Mass/volume] in Blood
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma
3095-7,Urea nitrogen [Mass/volume] in Urine
3097-3,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma
20405-7,Urobilinogen [Mass/volume] in Urine by Test strip
19161-9,Urobilinogen [Units/volume] in Urine by Test strip
4086-5,Valproate [Mass/volume] in Serum or Plasma
20578-1,Vancomycin [Mass/volume] in Serum or Plasma
735-1,Variant lymphocytes/100 leukocytes in Blood by Manual count
5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay
6584-7,Virus identified in Unspecified specimen by Culture
19153-6,Volume in Urine collected for unspecified duration
3167-4,Volume of 24 hour Urine
1746-7,Albumin [Mass/volume] in Cerebral spinal fluid
1765-7,Aldosterone [Mass/time] in 24 hour Urine
702-1,Anisocytosis [Presence] in Blood by Light microscopy
9335-1,Appearance of Body fluid
10333-3,Appearance of Cerebral spinal fluid
5769-5,Bacteria [#/area] in Urine sediment by Microscopy high power field
19270-8,Barbiturates [Presence] in Urine by Screen method
14316-4,Benzodiazepines [Presence] in Urine by Screen method
890-4,Blood group antibody screen [Presence] in Serum or Plasma
933-2,Blood product type
8301-4,Body height Estimated
1992-7,Calcitonin [Mass/volume] in Serum or Plasma
20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood
8116-6,CD19 cells [#/volume] in Blood
8117-4,CD19 cells/100 cells in Blood
8122-4,CD3 cells [#/volume] in Blood
8124-0,CD3 cells/100 cells in Blood
24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood
8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood
54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood
14135-8,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood
8101-8,CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood
21613-5,Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe and target amplification method
9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
54067-4,Clostridium difficile toxin genes [Presence] in Stool by Probe and target amplification method
6824-7,Color of Body fluid
12190-5,Creatinine [Mass/volume] in Body fluid
47528-5,Cytology report of Cervical or vaginal smear or scraping Cyto stain
7791-7,Dacrocytes [Presence] in Blood by Light microscopy
12286-1,Drugs identified in Urine by Screen method
714-6,Eosinophils/100 leukocytes in Blood by Manual count
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma
3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay
33914-3,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)
40442-6,Heart rate --post exercise
40443-4,Heart rate --resting
29891-9,Helicobacter pylori [Presence] in Stomach by urea breath test
17780-8,Helicobacter pylori Ag [Presence] in Stool by Immunoassay
5177-1,Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay
20570-8,Hematocrit [Volume Fraction] of Blood
2334-1,Hemoglobin.gastrointestinal [Presence] in Gastric fluid
2335-8,Hemoglobin.gastrointestinal [Presence] in Stool
22314-9,Hepatitis A virus IgM Ab [Presence] in Serum
22322-2,Hepatitis B virus surface Ab [Presence] in Serum
5195-3,Hepatitis B virus surface Ag [Presence] in Serum
50064-5,Ideal body weight
2464-6,IgG [Mass/volume] in Cerebral spinal fluid
2466-1,IgG subclass 1 [Mass/volume] in Serum
2467-9,IgG subclass 2 [Mass/volume] in Serum
2468-7,IgG subclass 3 [Mass/volume] in Serum
2469-5,IgG subclass 4 [Mass/volume] in Serum
5862-8,Influenza virus A Ag [Presence] in Unspecified specimen by Immunoassay
5866-9,Influenza virus B Ag [Presence] in Unspecified specimen by Immunoassay
3150-0,Inhaled oxygen concentration
34714-6,INR in Blood by Coagulation assay
2498-4,Iron [Mass/volume] in Serum or Plasma
5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field
10835-7,Lipoprotein a [Mass/volume] in Serum or Plasma
5244-9,Measles virus IgG Ab [Units/volume] in Serum by Immunoassay
740-1,Metamyelocytes/100 leukocytes in Blood by Manual count
2609-6,Metanephrines [Mass/time] in 24 hour Urine
744-3,Monocytes/100 leukocytes in Blood by Manual count
749-2,Myelocytes/100 leukocytes in Blood by Manual count
2671-6,Normetanephrine [Mass/time] in 24 hour Urine
11556-8,Oxygen [Partial pressure] in Blood
2704-5,Oxygen [Partial pressure] in Capillary blood
2749-0,pH of Gastric fluid
2755-7,pH of Stool
3969-3,Phenytoin Free [Mass/volume] in Serum or Plasma
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count
783-1,Promyelocytes/100 leukocytes in Blood by Manual count
27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay
27821-8,Protein S Free Ag actual/normal in Platelet poor plasma by Immunologic method
11060-1,Reducing substances [Presence] in Stool
2915-7,Renin [Enzymatic activity/volume] in Plasma
5334-8,Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
769-0,Segmented neutrophils/100 leukocytes in Blood by Manual count
13967-5,Sex hormone binding globulin [Moles/volume] in Serum or Plasma
2963-7,Somatotropin [Mass/volume] in Serum or Plasma
2964-5,Specific gravity of Body fluid
47938-6,Specimen source [Identifier] of Body fluid
66746-9,Specimen type
11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L
14924-5,Transfusion reaction [Interpretation] in Plasma or RBC Narrative
3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma
3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma
19157-7,Tube number of Cerebral spinal fluid
3122-9,Vanillylmandelate [Mass/time] in 24 hour Urine
