field,label,description,temporal,category,subcategory,identifier
17361-7,Deprecated Hexane [Mass/volume] in Blood,Deprecated Hexane [Mass/volume] in Blood,1,Laboratory,Hexane|MCnc|Pt|ANYBldSerPlas,0
9475-5,Hexane [Mass/volume] in Blood,Hexane [Mass/volume] in Blood,1,Laboratory,Hexane|MCnc|Pt|ANYBldSerPlas,0
44368-9,Hexanoylglycine/Creatinine [Mass Ratio] in 24 hour Urine,Hexanoylglycine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Hexanoylglycine/Creatinine|MRto|Urine,0
13753-9,Hexanoylglycine/Creatinine [Mass Ratio] in Urine,Hexanoylglycine/Creatinine [Mass Ratio] in Urine,1,Laboratory,Hexanoylglycine/Creatinine|MRto|Urine,0
49902-0,Hexanoylglycine/Creatinine [Molar ratio] in 24 hour Urine,Hexanoylglycine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Hexanoylglycine/Creatinine|SRto|Urine,0
24438-4,Hexanoylglycine/Creatinine [Molar ratio] in Urine,Hexanoylglycine/Creatinine [Molar ratio] in Urine,1,Laboratory,Hexanoylglycine/Creatinine|SRto|Urine,0
13756-2,Histamine/Creatinine [Mass Ratio] in 24 hour Urine,Histamine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Histamine/Creatinine|MRto|Urine,0
13755-4,Histamine/Creatinine [Mass Ratio] in Urine,Histamine/Creatinine [Mass Ratio] in Urine,1,Laboratory,Histamine/Creatinine|MRto|Urine,0
25925-9,Histamine/Creatinine [Molar ratio] in 24 hour Urine,Histamine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Histamine/Creatinine|SRto|Urine,0
44371-3,Histamine/Creatinine [Molar ratio] in Urine,Histamine/Creatinine [Molar ratio] in Urine,1,Laboratory,Histamine/Creatinine|SRto|Urine,0
2415-8,Histamine [Mass/volume] in Blood,Histamine [Mass/volume] in Blood,1,Laboratory,Histamine|MCnc|Pt|ANYBldSerPlas,0
2416-6,Histamine [Mass/volume] in Serum or Plasma,Histamine [Mass/volume] in Serum or Plasma,1,Laboratory,Histamine|MCnc|Pt|ANYBldSerPlas,0
34317-8,Histamine [Moles/volume] in 24 hour Urine,Histamine [Moles/volume] in 24 hour Urine,1,Laboratory,Histamine|SCnc|Urine,0
33290-8,Histamine [Moles/volume] in Urine,Histamine [Moles/volume] in Urine,1,Laboratory,Histamine|SCnc|Urine,0
44372-1,Histidine/Creatinine [Mass Ratio] in 24 hour Urine,Histidine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Histidine/Creatinine|MRto|Urine,0
13757-0,Histidine/Creatinine [Mass Ratio] in Urine,Histidine/Creatinine [Mass Ratio] in Urine,1,Laboratory,Histidine/Creatinine|MRto|Urine,0
56683-6,Histidine/Creatinine [Ratio] in 24 hour Urine,Histidine/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Histidine/Creatinine|Ratio|Urine,0
30047-5,Histidine/Creatinine [Ratio] in Urine,Histidine/Creatinine [Ratio] in Urine,1,Laboratory,Histidine/Creatinine|Ratio|Urine,0
25927-5,Histidine/Creatinine [Molar ratio] in 24 hour Urine,Histidine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Histidine/Creatinine|SRto|Urine,0
22703-3,Histidine/Creatinine [Molar ratio] in Urine,Histidine/Creatinine [Molar ratio] in Urine,1,Laboratory,Histidine/Creatinine|SRto|Urine,0
2419-0,Histidine [Mass/volume] in Blood,Histidine [Mass/volume] in Blood,1,Laboratory,Histidine|MCnc|Pt|ANYBldSerPlas,0
2420-8,Histidine [Mass/volume] in Serum or Plasma,Histidine [Mass/volume] in Serum or Plasma,1,Laboratory,Histidine|MCnc|Pt|ANYBldSerPlas,0
2418-2,Histidine [Presence] in Blood,Histidine [Presence] in Blood,1,Laboratory,Histidine|PrThr|Pt|ANYBldSerPlas,0
2421-6,Histidine [Presence] in Serum or Plasma,Histidine [Presence] in Serum or Plasma,1,Laboratory,Histidine|PrThr|Pt|ANYBldSerPlas,0
26808-6,Histidine [Presence] in 24 hour Urine,Histidine [Presence] in 24 hour Urine,1,Laboratory,Histidine|PrThr|Urine,0
2422-4,Histidine [Presence] in Urine,Histidine [Presence] in Urine,1,Laboratory,Histidine|PrThr|Urine,0
25926-7,Histidine [Moles/volume] in 24 hour Urine,Histidine [Moles/volume] in 24 hour Urine,1,Laboratory,Histidine|SCnc|Urine,0
27904-2,Histidine [Moles/volume] in Urine,Histidine [Moles/volume] in Urine,1,Laboratory,Histidine|SCnc|Urine,0
31423-7,Histone IgG Ab [Units/volume] in Serum,Histone IgG Ab [Units/volume] in Serum,1,Laboratory,Histone Ab.IgG|ACnc|Pt|ANYBldSerPlas,0
29996-6,Histone IgG Ab [Units/volume] in Serum by Immunoassay,Histone IgG Ab [Units/volume] in Serum by Immunoassay,1,Laboratory,Histone Ab.IgG|ACnc|Pt|ANYBldSerPlas,0
35284-9,Histone IgG Ab [Presence] in Serum,Histone IgG Ab [Presence] in Serum,1,Laboratory,Histone Ab.IgG|PrThr|Pt|ANYBldSerPlas,0
35274-0,Histone IgG Ab [Presence] in Serum by Immunoassay,Histone IgG Ab [Presence] in Serum by Immunoassay,1,Laboratory,Histone Ab.IgG|PrThr|Pt|ANYBldSerPlas,0
30359-4,Histone Ab [Units/volume] in Serum,Histone Ab [Units/volume] in Serum,1,Laboratory,Histone Ab|ACnc|Pt|ANYBldSerPlas,0
43231-0,Histone Ab [Units/volume] in Serum by Immunoassay,Histone Ab [Units/volume] in Serum by Immunoassay,1,Laboratory,Histone Ab|ACnc|Pt|ANYBldSerPlas,0
8071-3,Histone Ab [Presence] in Serum,Histone Ab [Presence] in Serum,1,Laboratory,Histone Ab|PrThr|Pt|ANYBldSerPlas,0
58765-9,Histone Ab [Presence] in Serum by Immunoassay,Histone Ab [Presence] in Serum by Immunoassay,1,Laboratory,Histone Ab|PrThr|Pt|ANYBldSerPlas,0
56717-2,Histone Ab [Presence] in Serum by Immunoblot,Histone Ab [Presence] in Serum by Immunoblot,1,Laboratory,Histone Ab|PrThr|Pt|ANYBldSerPlas,0
5217-5,Histone Ab [Presence] in Serum by Immunofluorescence,Histone Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Histone Ab|PrThr|Pt|ANYBldSerPlas,0
18230-3,Histone H2a+H2b Ab [Units/volume] in Serum,Histone H2a+H2b Ab [Units/volume] in Serum,1,Laboratory,Histone H2a+H2b Ab|ACnc|Pt|ANYBldSerPlas,0
16969-8,Histone H2a+H2b Ab [Units/volume] in Serum by Immunofluorescence,Histone H2a+H2b Ab [Units/volume] in Serum by Immunofluorescence,1,Laboratory,Histone H2a+H2b Ab|ACnc|Pt|ANYBldSerPlas,0
31424-5,Histone H2a+H2b Ab [Presence] in Serum,Histone H2a+H2b Ab [Presence] in Serum,1,Laboratory,Histone H2a+H2b Ab|PrThr|Pt|ANYBldSerPlas,0
18231-1,Histone H2a+H2b Ab [Presence] in Serum by Immunofluorescence,Histone H2a+H2b Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Histone H2a+H2b Ab|PrThr|Pt|ANYBldSerPlas,0
31856-8,Histoplasma capsulatum Ag [Units/volume] in Urine,Histoplasma capsulatum Ag [Units/volume] in Urine,1,Laboratory,Histoplasma capsulatum Ag|ACnc|<Sys:ANYGU>,0
13971-7,Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay,Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay,1,Laboratory,Histoplasma capsulatum Ag|ACnc|<Sys:ANYGU>,0
31856-8,Histoplasma capsulatum Ag [Units/volume] in Urine,Histoplasma capsulatum Ag [Units/volume] in Urine,1,Laboratory,Histoplasma capsulatum Ag|ACnc|Urine,0
13971-7,Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay,Histoplasma capsulatum Ag [Units/volume] in Urine by Immunoassay,1,Laboratory,Histoplasma capsulatum Ag|ACnc|Urine,0
35734-3,Histoplasma capsulatum Ag [Presence] in Urine,Histoplasma capsulatum Ag [Presence] in Urine,1,Laboratory,Histoplasma capsulatum Ag|PrThr|<Sys:ANYGU>,0
44524-7,Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay,Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay,1,Laboratory,Histoplasma capsulatum Ag|PrThr|<Sys:ANYGU>,0
44870-4,Histoplasma capsulatum Ag [Presence] in Urine by Radioimmunoassay (RIA),Histoplasma capsulatum Ag [Presence] in Urine by Radioimmunoassay (RIA),1,Laboratory,Histoplasma capsulatum Ag|PrThr|<Sys:ANYGU>,0
35734-3,Histoplasma capsulatum Ag [Presence] in Urine,Histoplasma capsulatum Ag [Presence] in Urine,1,Laboratory,Histoplasma capsulatum Ag|PrThr|Urine,0
44524-7,Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay,Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay,1,Laboratory,Histoplasma capsulatum Ag|PrThr|Urine,0
44870-4,Histoplasma capsulatum Ag [Presence] in Urine by Radioimmunoassay (RIA),Histoplasma capsulatum Ag [Presence] in Urine by Radioimmunoassay (RIA),1,Laboratory,Histoplasma capsulatum Ag|PrThr|Urine,0
44377-0,Homocysteine/Creatinine [Molar ratio] in 24 hour Urine,Homocysteine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Homocysteine/Creatinine|SRto|Urine,0
26582-7,Homocysteine/Creatinine [Molar ratio] in Urine,Homocysteine/Creatinine [Molar ratio] in Urine,1,Laboratory,Homocysteine/Creatinine|SRto|Urine,0
44375-4,Homocysteine [Presence] in Blood,Homocysteine [Presence] in Blood,1,Laboratory,Homocysteine|PrThr|Pt|ANYBldSerPlas,0
44374-7,Homocysteine [Presence] in Serum or Plasma,Homocysteine [Presence] in Serum or Plasma,1,Laboratory,Homocysteine|PrThr|Pt|ANYBldSerPlas,0
55878-3,Homocysteine [Moles/volume] in 24 hour Urine,Homocysteine [Moles/volume] in 24 hour Urine,1,Laboratory,Homocysteine|SCnc|Urine,0
32020-0,Homocysteine [Moles/volume] in Urine,Homocysteine [Moles/volume] in Urine,1,Laboratory,Homocysteine|SCnc|Urine,0
44378-8,Homocystine/Creatinine [Mass Ratio] in 24 hour Urine,Homocystine/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Homocystine/Creatinine|MRto|Urine,0
13759-6,Homocystine/Creatinine [Mass Ratio] in Urine,Homocystine/Creatinine [Mass Ratio] in Urine,1,Laboratory,Homocystine/Creatinine|MRto|Urine,0
56682-8,Homocystine/Creatinine [Ratio] in 24 hour Urine,Homocystine/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,Homocystine/Creatinine|Ratio|Urine,0
30051-7,Homocystine/Creatinine [Ratio] in Urine,Homocystine/Creatinine [Ratio] in Urine,1,Laboratory,Homocystine/Creatinine|Ratio|Urine,0
25929-1,Homocystine/Creatinine [Molar ratio] in 24 hour Urine,Homocystine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Homocystine/Creatinine|SRto|Urine,0
22707-4,Homocystine/Creatinine [Molar ratio] in Urine,Homocystine/Creatinine [Molar ratio] in Urine,1,Laboratory,Homocystine/Creatinine|SRto|Urine,0
26809-4,Homocystine [Presence] in 24 hour Urine,Homocystine [Presence] in 24 hour Urine,1,Laboratory,Homocystine|PrThr|Urine,0
14053-3,Homocystine [Presence] in Urine,Homocystine [Presence] in Urine,1,Laboratory,Homocystine|PrThr|Urine,0
22673-8,Deprecated Homocystine [Molecules/volume] in Serum or Plasma,Deprecated Homocystine [Molecules/volume] in Serum or Plasma,1,Laboratory,Homocystine|SCnc|Pt|ANYBldSerPlas,0
20646-6,Homocystine [Moles/volume] in Serum or Plasma,Homocystine [Moles/volume] in Serum or Plasma,1,Laboratory,Homocystine|SCnc|Pt|ANYBldSerPlas,0
25928-3,Homocystine [Moles/volume] in 24 hour Urine,Homocystine [Moles/volume] in 24 hour Urine,1,Laboratory,Homocystine|SCnc|Urine,0
26999-3,Homocystine [Moles/volume] in Urine,Homocystine [Moles/volume] in Urine,1,Laboratory,Homocystine|SCnc|Urine,0
75085-1,Homogentisate/Creatinine [Molar ratio] in 24 hour Urine,Homogentisate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Homogentisate/Creatinine|SRto|Urine,0
47650-7,Homogentisate/Creatinine [Molar ratio] in Urine,Homogentisate/Creatinine [Molar ratio] in Urine,1,Laboratory,Homogentisate/Creatinine|SRto|Urine,0
51800-1,Homogentisate [Mass/volume] in 24 hour Urine,Homogentisate [Mass/volume] in 24 hour Urine,1,Laboratory,Homogentisate|MCnc|Urine,0
2433-1,Homogentisate [Mass/volume] in Urine,Homogentisate [Mass/volume] in Urine,1,Laboratory,Homogentisate|MCnc|Urine,0
44908-2,Homovanillate and Creatinine [Interpretation] in Urine,Homovanillate and Creatinine [Interpretation] in Urine,1,Laboratory,Homovanillate & Creatinine|Imp|Urine,0
49269-4,Homovanillate and Creatinine [Interpretation] in Urine Narrative,Homovanillate and Creatinine [Interpretation] in Urine Narrative,1,Laboratory,Homovanillate & Creatinine|Imp|Urine,0
13760-4,Homovanillate/Creatinine [Mass Ratio] in 24 hour Urine,Homovanillate/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,Homovanillate/Creatinine|MRto|Urine,0
11146-8,Homovanillate/Creatinine [Mass Ratio] in Urine,Homovanillate/Creatinine [Mass Ratio] in Urine,1,Laboratory,Homovanillate/Creatinine|MRto|Urine,0
51994-2,Homovanillate/Creatinine [Mass Ratio] in Urine collected for unspecified duration,Homovanillate/Creatinine [Mass Ratio] in Urine collected for unspecified duration,1,Laboratory,Homovanillate/Creatinine|MRto|Urine,0
25931-7,Homovanillate/Creatinine [Molar ratio] in 24 hour Urine,Homovanillate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Homovanillate/Creatinine|SRto|Urine,0
22708-2,Homovanillate/Creatinine [Molar ratio] in Urine,Homovanillate/Creatinine [Molar ratio] in Urine,1,Laboratory,Homovanillate/Creatinine|SRto|Urine,0
53595-5,Homovanillate [Mass/volume] in 24 hour Urine,Homovanillate [Mass/volume] in 24 hour Urine,1,Laboratory,Homovanillate|MCnc|Urine,0
11144-3,Homovanillate [Mass/volume] in Urine,Homovanillate [Mass/volume] in Urine,1,Laboratory,Homovanillate|MCnc|Urine,0
59587-6,Homovanillate [Mass/volume] in Urine collected for unspecified duration,Homovanillate [Mass/volume] in Urine collected for unspecified duration,1,Laboratory,Homovanillate|MCnc|Urine,0
2436-4,Homovanillate [Mass/time] in 24 hour Urine,Homovanillate [Mass/time] in 24 hour Urine,1,Laboratory,Homovanillate|MRat|Urine,0
12715-9,Homovanillate [Mass/time] in Urine,Homovanillate [Mass/time] in Urine,1,Laboratory,Homovanillate|MRat|Urine,0
25930-9,Homovanillate [Moles/volume] in 24 hour Urine,Homovanillate [Moles/volume] in 24 hour Urine,1,Laboratory,Homovanillate|SCnc|Urine,0
14782-7,Homovanillate [Moles/volume] in Urine,Homovanillate [Moles/volume] in Urine,1,Laboratory,Homovanillate|SCnc|Urine,0
31432-8,Deprecated Human antimouse Ab [Units/volume] in Serum,Deprecated Human antimouse Ab [Units/volume] in Serum,1,Laboratory,Human antimouse Ab|ACnc|Pt|ANYBldSerPlas,0
13164-9,Human antimouse Ab [Units/volume] in Serum,Human antimouse Ab [Units/volume] in Serum,1,Laboratory,Human antimouse Ab|ACnc|Pt|ANYBldSerPlas,0
77191-5,Deprecated Human epididymis protein 4 [Moles/volume] in Serum or Plasma by Immunoassay,Deprecated Human epididymis protein 4 [Moles/volume] in Serum or Plasma by Immunoassay,1,Laboratory,Human epididymis protein 4|SCnc|Pt|ANYBldSerPlas,0
55180-4,Human epididymis protein 4 [Moles/volume] in Serum or Plasma,Human epididymis protein 4 [Moles/volume] in Serum or Plasma,1,Laboratory,Human epididymis protein 4|SCnc|Pt|ANYBldSerPlas,0
77024-8,Human metapneumovirus RNA [Presence] in Nasopharynx by Probe and target amplification method,Human metapneumovirus RNA [Presence] in Nasopharynx by Probe and target amplification method,1,Laboratory,Human metapneumovirus RNA|PrThr|<Sys:ANYResp>,0
82165-2,Human metapneumovirus RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Human metapneumovirus RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Human metapneumovirus RNA|PrThr|<Sys:ANYResp>,0
59263-4,Human papilloma virus 16 DNA [Presence] in Cervix by Probe and signal amplification method,Human papilloma virus 16 DNA [Presence] in Cervix by Probe and signal amplification method,1,Laboratory,Human papilloma virus 16 DNA|PrThr|<Sys:ANYGU>,0
77399-4,Human papilloma virus 16 DNA [Presence] in Cervix by Probe and target amplification method,Human papilloma virus 16 DNA [Presence] in Cervix by Probe and target amplification method,1,Laboratory,Human papilloma virus 16 DNA|PrThr|<Sys:ANYGU>,0
14503-7,Human papilloma virus 16+18 Ag [Presence] in Cervix,Human papilloma virus 16+18 Ag [Presence] in Cervix,1,Laboratory,Human papilloma virus 16+18 Ag|PrThr|<Sys:ANYGU>,0
12223-4,Human papilloma virus 16+18 Ag [Presence] in Genital specimen,Human papilloma virus 16+18 Ag [Presence] in Genital specimen,1,Laboratory,Human papilloma virus 16+18 Ag|PrThr|<Sys:ANYGU>,0
14506-0,Human papilloma virus 16+18 Ag [Presence] in Urethra,Human papilloma virus 16+18 Ag [Presence] in Urethra,1,Laboratory,Human papilloma virus 16+18 Ag|PrThr|<Sys:ANYGU>,0
14504-5,Human papilloma virus 16+18 Ag [Presence] in Vaginal fluid,Human papilloma virus 16+18 Ag [Presence] in Vaginal fluid,1,Laboratory,Human papilloma virus 16+18 Ag|PrThr|<Sys:ANYGU>,0
59420-0,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by Probe and signal amplification method,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by Probe and signal amplification method,1,Laboratory,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA|PrThr|<Sys:ANYGU>,0
82675-0,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by Probe and target amplification method,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by Probe and target amplification method,1,Laboratory,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA|PrThr|<Sys:ANYGU>,0
59264-2,Human papilloma virus 18 DNA [Presence] in Cervix by Probe and signal amplification method,Human papilloma virus 18 DNA [Presence] in Cervix by Probe and signal amplification method,1,Laboratory,Human papilloma virus 18 DNA|PrThr|<Sys:ANYGU>,0
77400-0,Human papilloma virus 18 DNA [Presence] in Cervix by Probe and target amplification method,Human papilloma virus 18 DNA [Presence] in Cervix by Probe and target amplification method,1,Laboratory,Human papilloma virus 18 DNA|PrThr|<Sys:ANYGU>,0
21441-1,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by DNA probe,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by DNA probe,1,Laboratory,Human papilloma virus 6+11+42+43+44 DNA|PrThr|<Sys:ANYGU>,0
42481-2,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe and signal amplification method,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe and signal amplification method,1,Laboratory,Human papilloma virus 6+11+42+43+44 DNA|PrThr|<Sys:ANYGU>,0
55298-4,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Urethra by Probe and signal amplification method,Human papilloma virus 6+11+42+43+44 DNA [Presence] in Urethra by Probe and signal amplification method,1,Laboratory,Human papilloma virus 6+11+42+43+44 DNA|PrThr|<Sys:ANYGU>,0
7975-6,Human papilloma virus Ab [Presence] in Genital specimen,Human papilloma virus Ab [Presence] in Genital specimen,1,Laboratory,Human papilloma virus Ab|PrThr|<Sys:ANYGU>,0
6510-2,Human papilloma virus Ab [Presence] in Genital specimen by Immunoassay,Human papilloma virus Ab [Presence] in Genital specimen by Immunoassay,1,Laboratory,Human papilloma virus Ab|PrThr|<Sys:ANYGU>,0
6511-0,Human papilloma virus Ab [Presence] in Genital specimen by Immunoblot,Human papilloma virus Ab [Presence] in Genital specimen by Immunoblot,1,Laboratory,Human papilloma virus Ab|PrThr|<Sys:ANYGU>,0
14499-8,Human papilloma virus Ag [Presence] in Cervix,Human papilloma virus Ag [Presence] in Cervix,1,Laboratory,Human papilloma virus Ag|PrThr|<Sys:ANYGU>,0
12222-6,Human papilloma virus Ag [Presence] in Genital specimen,Human papilloma virus Ag [Presence] in Genital specimen,1,Laboratory,Human papilloma virus Ag|PrThr|<Sys:ANYGU>,0
14502-9,Human papilloma virus Ag [Presence] in Urethra,Human papilloma virus Ag [Presence] in Urethra,1,Laboratory,Human papilloma virus Ag|PrThr|<Sys:ANYGU>,0
14500-3,Human papilloma virus Ag [Presence] in Vaginal fluid,Human papilloma virus Ag [Presence] in Vaginal fluid,1,Laboratory,Human papilloma virus Ag|PrThr|<Sys:ANYGU>,0
44550-2,Human papilloma virus DNA [Presence] in Cervix by DNA probe,Human papilloma virus DNA [Presence] in Cervix by DNA probe,1,Laboratory,Human papilloma virus DNA|PrThr|<Sys:ANYGU>,0
44545-2,Human papilloma virus DNA [Presence] in Urethra by DNA probe,Human papilloma virus DNA [Presence] in Urethra by DNA probe,1,Laboratory,Human papilloma virus DNA|PrThr|<Sys:ANYGU>,0
44548-6,Human papilloma virus DNA [Presence] in Urethra by Probe and signal amplification method,Human papilloma virus DNA [Presence] in Urethra by Probe and signal amplification method,1,Laboratory,Human papilloma virus DNA|PrThr|<Sys:ANYGU>,0
44546-0,Human papilloma virus DNA [Presence] in Vaginal fluid by DNA probe,Human papilloma virus DNA [Presence] in Vaginal fluid by DNA probe,1,Laboratory,Human papilloma virus DNA|PrThr|<Sys:ANYGU>,0
44549-4,Human papilloma virus DNA [Presence] in Vaginal fluid by Probe and signal amplification method,Human papilloma virus DNA [Presence] in Vaginal fluid by Probe and signal amplification method,1,Laboratory,Human papilloma virus DNA|PrThr|<Sys:ANYGU>,0
82418-5,Human upstream binding factor Ab [Presence] in Serum by Immunoassay,Human upstream binding factor Ab [Presence] in Serum by Immunoassay,1,Laboratory,Human upstream binding factor Ab|PrThr|Pt|ANYBldSerPlas,0
54003-9,Human upstream binding factor Ab [Presence] in Serum by Immunofluorescence,Human upstream binding factor Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Human upstream binding factor Ab|PrThr|Pt|ANYBldSerPlas,0
73939-1,Hydrocodone Free [Mass/volume] in Blood,Hydrocodone Free [Mass/volume] in Blood,1,Laboratory,Hydrocodone.free|MCnc|Pt|ANYBldSerPlas,0
12786-0,Hydrocodone Free [Mass/volume] in Serum or Plasma,Hydrocodone Free [Mass/volume] in Serum or Plasma,1,Laboratory,Hydrocodone.free|MCnc|Pt|ANYBldSerPlas,0
26719-5,Hydrocodone [Mass/mass] in Hair,Hydrocodone [Mass/mass] in Hair,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
26863-1,Hydrocodone [Mass/mass] in Meconium,Hydrocodone [Mass/mass] in Meconium,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
68544-6,Hydrocodone [Mass/mass] in Meconium by Confirmatory method,Hydrocodone [Mass/mass] in Meconium by Confirmatory method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
72753-7,Hydrocodone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,Hydrocodone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
3680-6,Hydrocodone [Mass/volume] in Serum or Plasma,Hydrocodone [Mass/volume] in Serum or Plasma,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
86229-2,"Hydrocodone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method","Hydrocodone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method",1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
3681-4,Hydrocodone [Mass/volume] in Urine,Hydrocodone [Mass/volume] in Urine,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
16252-9,Hydrocodone [Mass/volume] in Urine by Confirmatory method,Hydrocodone [Mass/volume] in Urine by Confirmatory method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
57861-7,Hydrocodone [Moles/volume] in Unspecified specimen,Hydrocodone [Moles/volume] in Unspecified specimen,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
40634-8,Hydrocodone [Presence] in Gastric fluid,Hydrocodone [Presence] in Gastric fluid,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
57981-3,Hydrocodone [Presence] in Meconium,Hydrocodone [Presence] in Meconium,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
74644-6,Hydrocodone [Presence] in Saliva (oral fluid) by Confirmatory method,Hydrocodone [Presence] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
3679-8,Hydrocodone [Presence] in Serum or Plasma,Hydrocodone [Presence] in Serum or Plasma,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
32080-4,Hydrocodone [Presence] in Unspecified specimen,Hydrocodone [Presence] in Unspecified specimen,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
12308-3,Hydrocodone [Presence] in Urine,Hydrocodone [Presence] in Urine,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19483-7,Hydrocodone [Presence] in Urine by Confirmatory method,Hydrocodone [Presence] in Urine by Confirmatory method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19482-9,Hydrocodone [Presence] in Urine by Screen method,Hydrocodone [Presence] in Urine by Screen method,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
78830-7,Hydrocodone [Z-score] in Urine,Hydrocodone [Z-score] in Urine,1,Laboratory,Hydrocodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
35747-5,Hydrogen ion [Moles/volume] in Arterial blood,Hydrogen ion [Moles/volume] in Arterial blood,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
50863-0,Hydrogen ion [Moles/volume] in Blood,Hydrogen ion [Moles/volume] in Blood,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
50861-4,Hydrogen ion [Moles/volume] in Capillary blood,Hydrogen ion [Moles/volume] in Capillary blood,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
53143-4,Hydrogen ion [Moles/volume] in Mixed venous blood,Hydrogen ion [Moles/volume] in Mixed venous blood,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
50865-5,Hydrogen ion [Moles/volume] in Serum or Plasma,Hydrogen ion [Moles/volume] in Serum or Plasma,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
50864-8,Hydrogen ion [Moles/volume] in Venous blood,Hydrogen ion [Moles/volume] in Venous blood,1,Laboratory,Hydrogen ion|SCnc|Pt|ANYBldSerPlas,0
73940-9,Hydromorphone Free [Mass/volume] in Blood,Hydromorphone Free [Mass/volume] in Blood,1,Laboratory,Hydromorphone.free|MCnc|Pt|ANYBldSerPlas,0
